time,seconds_elapsed,ax,ay,az,gx,gy,gz
1783197014940642000,0.10264208984375,-0.3944308411158621,-0.0183376207232475,0.9317080184161662,0.0456546656787395,0.2418241649866104,-0.0466442294418811
1783197014950579200,0.1125791015625,-0.4542342985630035,0.0481938298046588,0.925009397560358,0.0444671139121055,0.3078860342502594,-0.0782412737607956
1783197014960516000,0.12251611328125,-0.5347191633805632,0.1119464632689952,0.9511609069049358,0.0738652125000953,0.3640225529670715,-0.1114436984062194
1783197014970453200,0.132453369140625,-0.5423886750951409,0.2158130804568529,1.0148574262678622,0.1596778035163879,0.4148108661174774,-0.1481361240148544
1783197014980390400,0.142390380859375,-0.5610417915083468,0.3082224840849638,1.1292004292845723,0.3022170960903168,0.4631848037242889,-0.1878739446401596
1783197014990327000,0.1523271484375,-0.6139977211482822,0.4180658375948667,1.1724591407746077,0.4838214218616485,0.5040885806083679,-0.2275014221668243
1783197015000264200,0.16226416015625,-0.6603267799943685,0.5789531496435404,1.243515375250578,0.6201528906822205,0.3566200733184814,-0.3176693916320801
1783197015010201000,0.172201171875,-0.9985274921052156,1.148222525140643,1.2886246830433603,0.786703884601593,0.4595527648925781,-0.3884139657020569
1783197015020138200,0.18213818359375,-0.6497784979730844,1.350853467941284,1.6407897692292928,0.9364097714424132,0.6675992012023926,-0.4166226983070373
1783197015030075400,0.192075439453125,-0.3245572405532002,1.2370517321944237,2.789048534727097,1.0052324533462524,0.6335210800170898,-0.4329533576965332
1783197015040012000,0.202011962890625,-0.0481182803504168,1.677421756055951,2.883413748598098,1.0063408613204956,0.3137369155883789,-0.3291878402233124
1783197015049949200,0.21194921875,0.4345230513989925,1.452135913854837,2.7940853598505258,0.9763727188110352,0.0871642678976059,-0.1651460975408554
1783197015059886300,0.22188623046875,1.0098746694192289,1.2907564343750475,3.3780735810518263,0.9246985912322998,-0.0103899892419576,-0.0989284589886665
1783197015069823200,0.2318232421875,1.0560589129671454,1.3006845386713743,4.472996477681398,0.8819603323936462,-0.1951756775379181,0.1359528601169586
1783197015079760400,0.241760498046875,0.4944152100428938,1.321550801089406,4.714198266416788,0.6721131205558777,-0.4915173351764679,0.5317869782447815
1783197015089697000,0.251697021484375,0.683959292255342,2.3302216476768254,4.903687988093495,0.1964258700609207,-0.7135836482048035,0.8907895088195801
1783197015099634200,0.26163427734375,1.110682191297412,3.463630050045252,5.452079995256662,-0.4216879308223724,-0.8382605910301208,1.0709915161132812
1783197015109571300,0.2715712890625,1.705304911498725,4.335375474929809,6.214802150842547,-1.042083978652954,-0.7734802961349487,1.1062909364700315
1783197015119508200,0.28150830078125,2.0422595690712333,4.714353749239445,6.800506528311968,-1.635435700416565,-0.56528639793396,1.066296100616455
1783197015129445400,0.2914453125,2.098506795341521,4.804951719531417,7.311862059500813,-2.1951935291290283,-0.3703464865684509,1.0193700790405271
1783197015139382000,0.301382080078125,2.1318137293986976,4.978978499138355,7.52332220544517,-2.775216817855835,-0.1435117274522781,1.0548417568206787
1783197015149319200,0.311319091796875,2.137621831155568,5.245601729378104,7.29666858202219,-3.47532057762146,0.5461855530738831,1.5182126760482788
1783197015159256300,0.32125634765625,1.681658224581927,6.127565181416273,6.40845834454894,-3.819038152694702,0.5683653950691223,1.893963098526001
1783197015169193200,0.331193115234375,1.6878939041011034,5.695130626729131,3.66688175509274,-3.773228883743286,0.884465217590332,2.440638780593872
1783197015179130400,0.34113037109375,2.8934067348241803,4.3575396682038905,2.9401719931304453,-3.593188524246216,0.817223072052002,2.59688401222229
1783197015189067000,0.35106689453125,3.538845742288232,4.394731627000868,2.5903338885873555,-3.4439876079559326,0.1263325810432434,2.438595056533813
1783197015199004200,0.361004150390625,2.9951579672932622,4.287416038402915,0.6235761352241039,-3.3650243282318115,-0.5896782279014587,2.346197843551636
1783197015208941300,0.37094140625,1.51459032420218,3.439686572138965,0.1299748719125986,-3.3832075595855717,-1.1369843482971191,2.45136833190918
1783197015218878200,0.380878173828125,0.1549082376390695,2.6375185413494706,-0.1975567082762718,-3.50460147857666,-1.586410641670227,2.5869598388671875
1783197015228815000,0.390815185546875,-1.6936279177084563,2.135704599357396,-1.399725927659869,-3.52077579498291,-1.925631046295166,2.443242311477661
1783197015238752000,0.400751953125,-3.768865335012972,1.4149318262286483,-4.046080394154787,-3.288008213043213,-2.0775599479675293,1.9190127849578855
1783197015248689200,0.410689208984375,-5.339024109441041,0.0712701694875955,-6.967534242811799,-2.8381309509277344,-2.0112946033477783,1.2693663835525513
1783197015258626300,0.420626220703125,-6.157965580376982,-1.2276087810665368,-9.762654206407069,-2.308605432510376,-1.5666559934616089,0.8147083520889282
1783197015268563200,0.430563232421875,-6.324516909536719,-1.961811967524141,-11.584334211272,-1.885002851486206,-0.9098317623138428,0.6333664655685425
1783197015278500000,0.4405,-6.258744168421626,-2.203681572518497,-12.189907072293758,-1.618506669998169,-0.3410913646221161,0.6297054290771484
1783197015288437200,0.450437255859375,-5.912629468315839,-2.593357620322704,-11.87758884332776,-1.4252498149871826,-0.0566492080688476,0.6395626068115234
1783197015298374100,0.4603740234375,-5.509720867842436,-3.2703938353165984,-11.515539491987228,-1.17241632938385,-0.0347598865628242,0.5490715503692627
1783197015308311300,0.470311279296875,-5.461394936090708,-4.00172628864348,-11.576226892662048,-0.7327445149421692,-0.1185069605708122,0.3077519834041595
1783197015318248200,0.480248291015625,-5.805056397825479,-4.511166926121711,-12.022432198548316,-0.1822044104337692,-0.2681265473365783,-0.0304212439805269
1783197015328185000,0.49018505859375,-5.941001576319336,-4.834696869453787,-12.22430969263315,0.334660142660141,-0.419585108757019,-0.3974539935588836
1783197015338122200,0.500122314453125,-5.4944543251276015,-4.91235060249865,-11.60941838364601,0.7644178867340088,-0.5697448253631592,-0.6987597346305847
1783197015348059100,0.51005908203125,-4.594421840174496,-4.688179443541169,-10.490624782085415,1.0913015604019165,-0.6447128057479858,-0.8990636467933655
1783197015357996300,0.519996337890625,-3.532926873633265,-4.311468821902573,-9.2222479373008,1.307481288909912,-0.5952783823013306,-1.0069348812103271
1783197015367933200,0.52993310546875,-2.602890003299713,-3.901152867782116,-7.814947774994373,1.4132258892059326,-0.5001503229141235,-1.0523762702941897
1783197015377870000,0.5398701171875,-1.8926970763742923,-3.5131916610717773,-6.559780540394782,1.4541757106781006,-0.3971022367477417,-1.0823837518692017
1783197015387807200,0.54980712890625,-1.4342805236905811,-3.0527450638651845,-5.851286234080791,1.5264569520950315,-0.3222399950027466,-1.0898667573928833
1783197015397744000,0.559744140625,-1.0710632976144552,-2.68500217705816,-5.724010099732875,1.6803759336471558,-0.3189730942249298,-1.0726689100265503
1783197015407681300,0.569681396484375,-0.6857575738489627,-2.3080498556181785,-5.906987663036585,1.8915245532989504,-0.4289313554763794,-1.0411407947540283
1783197015417618200,0.5796181640625,-0.338397842118144,-1.9163409868121144,-6.085452132830024,2.104748487472534,-0.5525478720664978,-1.0156488418579102
1783197015427555000,0.58955517578125,-0.1315200555279851,-1.6652198616087437,-6.0044940975427625,2.2555384635925293,-0.7102365493774414,-0.9861411452293396
1783197015437492200,0.5994921875,-0.0438818118244409,-1.4450614454239603,-5.726908743783831,2.321471929550171,-0.8516658544540405,-0.9842194318771362
1783197015447429000,0.60942919921875,-0.2088771437138319,-1.1731295873820782,-5.467929306295514,2.354867935180664,-0.9135637283325196,-1.0238550901412964
1783197015457366300,0.6193662109375,-0.6374959395051002,-0.9310378640696406,-5.354670006862283,2.4193265438079834,-0.7824259400367737,-1.0516538619995115
1783197015467303200,0.62930322265625,-0.8807441393762826,-0.9021692047208548,-5.346050062555074,2.574814558029175,-0.4924254119396209,-1.0732334852218628
1783197015477240000,0.639239990234375,-0.9416393375828862,-0.7001090475454926,-5.647506705766916,2.817110300064087,-0.1134251058101654,-1.1930288076400757
1783197015487177200,0.64917724609375,-1.4811401822820305,-0.1329082950159907,-5.96281534872055,3.030548095703125,0.2774680852890014,-1.3082969188690186
1783197015497114000,0.659114013671875,-1.6900471366122365,0.5934808566898108,-5.757781436431408,3.0981605052948,0.6110076904296875,-1.3493218421936035
1783197015507051300,0.66905126953125,-1.4455243867605925,0.9776423788562416,-4.9891655466318126,3.0862956047058105,0.8732380270957947,-1.337413668632507
1783197015516988200,0.67898828125,-1.17383510530293,1.4760262002691626,-4.021061688232422,3.0655627250671387,1.0345652103424072,-1.2921929359436035
1783197015526925000,0.688925048828125,-0.8084718071088194,1.9603718517184257,-3.306959478908777,3.0826854705810547,1.1064528226852417,-1.2512255907058716
1783197015536862200,0.6988623046875,-0.4928317402437329,2.479461776551604,-2.779349563011527,3.1649861335754395,1.0709978342056274,-1.264657735824585
1783197015546799000,0.708799072265625,-0.4752805937230587,3.1850042473226785,-2.3507851277559992,3.33457350730896,1.0314991474151611,-1.2230205535888672
1783197015556736300,0.718736328125,-0.1592696477189659,3.733485686334968,-1.8997686221957208,3.4825189113616943,0.902713179588318,-1.1305558681488037
1783197015566673200,0.728673095703125,0.5223395742788911,3.8810055672883994,-1.194008709281683,3.571333169937134,0.6912714838981628,-1.1005809307098389
1783197015576610000,0.738610107421875,0.6004089023873209,4.168434854191541,-0.4272603669196367,3.5230977535247803,0.4744787514209747,-1.1136504411697388
1783197015586547200,0.748547119140625,0.5348711390718818,4.90684908247292,1.0773182663559913,3.29673171043396,0.2774823606014251,-1.062739014625549
1783197015596484000,0.758484130859375,0.9148667737305164,4.911048287728429,2.316183769974113,3.024846076965332,0.193997323513031,-1.0325273275375366
1783197015606421200,0.768421142578125,0.99981124830544,4.980374921932817,3.4500405006319284,2.680691719055176,0.1247331127524375,-1.0115283727645874
1783197015616358400,0.7783583984375,0.906944748559594,5.414419249904156,4.404624367722868,2.32056188583374,0.1239845007658004,-0.936842441558838
1783197015626295000,0.788294921875,1.1999462826371192,5.442252428725362,4.920117729368806,2.0269460678100586,0.1810290962457656,-0.8782463073730469
1783197015636232200,0.798232177734375,1.2290665786594153,5.435356823992729,4.766258123999834,1.822361946105957,0.2662433385848999,-0.8587349653244019
1783197015646169000,0.808169189453125,1.007687096247077,5.725929669618607,4.387610689079761,1.643386721611023,0.3327457010746002,-0.8290311694145203
1783197015656106200,0.818106201171875,0.9985283688880504,5.897337206637859,4.218620734596252,1.479913592338562,0.3943837583065033,-0.7975931167602539
1783197015666043400,0.82804345703125,1.077128589002788,6.028739481005072,4.22750312923193,1.3306392431259155,0.4077952802181244,-0.7558794617652893
1783197015675980000,0.83797998046875,1.2131680216513574,6.1778556912392375,4.418970288461447,1.1401978731155396,0.3385461866855621,-0.656446099281311
1783197015685917200,0.847917236328125,1.594680929005146,6.17691928717196,4.87689759632349,0.9322836399078368,0.2295391261577606,-0.5043778419494629
1783197015695854000,0.85785400390625,2.108817469214648,6.001342940035462,5.285861843574047,0.7542494535446167,0.1188442930579185,-0.3666540682315826
1783197015705791200,0.867791259765625,2.260342494156212,5.932486261430382,5.547120916432142,0.5729743838310242,-0.0105975409969687,-0.2537449896335602
1783197015715728400,0.877728271484375,2.2306319771558045,6.05828589348495,5.8085237816751,0.3898948431015014,-0.1302706748247146,-0.1748879849910736
1783197015725665000,0.8876650390625,2.030513747828454,6.194193078055977,5.898273610705137,0.1974552869796753,-0.1994671821594238,-0.1283628046512603
1783197015735602200,0.897602294921875,1.726102930986136,6.26925562556386,5.958769872722029,-0.0364307090640068,-0.2188068032264709,-0.0824373885989189
1783197015745539000,0.9075390625,1.591206969284266,6.317123876675963,6.106665601250529,-0.2960763871669769,-0.1798378676176071,-0.0220020413398742
1783197015755476200,0.917476318359375,1.6328607297956943,6.228834183326363,6.185577809923887,-0.5684072971343994,-0.0921998918056488,0.0506087765097618
1783197015765414100,0.9274140625,1.6743829728819428,6.081119072061777,6.189865862506628,-0.8355071544647217,0.0114737972617149,0.1273113340139389
1783197015775351300,0.937351318359375,1.6806363341882824,6.007521920931339,6.214277834707498,-1.106244444847107,0.0876204967498779,0.1982784420251846
1783197015785288200,0.9472880859375,1.661259725806117,5.94403524492681,6.3163113912492985,-1.3928701877593994,0.093478113412857,0.2449335008859634
1783197015795225000,0.95722509765625,1.5297000689201057,5.765635657063126,6.372336060810088,-1.6987653970718384,0.0618456155061721,0.2722609937191009
1783197015805162200,0.967162353515625,1.299979897533357,5.678742971029878,6.396352896213531,-2.0557382106781006,-0.0018460117280483,0.2808344960212707
1783197015815099100,0.97709912109375,1.034169737242162,5.5983186042279005,6.458471790996193,-2.4688432216644287,-0.0833475291728973,0.2609899640083313
1783197015825036300,0.987036376953125,0.7341904731065034,5.490393651559948,6.4232116770446295,-2.902441024780273,-0.1411799192428589,0.2334430962800979
1783197015834973200,0.99697314453125,0.4313859224170446,5.360635052746534,6.094888069695234,-3.2593588829040527,-0.1571564972400665,0.2193331271409988
1783197015844910000,1.00691015625,0.078249945372343,5.227167662543058,5.254751250517368,-3.4730000495910645,-0.1221115589141845,0.2031823545694351
1783197015854847200,1.01684716796875,-0.3039240562386811,5.107259426614642,4.038118036973477,-3.511204242706299,-0.0574100650846958,0.1720848977565765
1783197015864784100,1.0267841796875,-0.666989452753961,4.824678748786449,2.6106553766041998,-3.437171697616577,0.0063128573819994,0.1388795673847198
1783197015874721300,1.03672119140625,-0.9599011165909468,4.343876176771522,1.4415397010385989,-3.333014249801636,0.0275875199586153,0.0977728813886642
1783197015884658200,1.046658203125,-1.1238809878274798,3.876253404325247,0.6654477762699127,-3.272050142288208,-0.0370737202465534,0.0922346711158752
1783197015894595000,1.056594970703125,-0.9391551195517182,3.2919676614820954,0.3283586786627769,-3.3380720615386963,-0.1652047932147979,0.1062008216977119
1783197015904532200,1.0665322265625,-0.7245940849825739,2.800284214490652,0.2952303160429,-3.5121560096740723,-0.2869130373001098,0.1078328043222427
1783197015914469000,1.07646923828125,-0.6797631557397544,2.3956290626108645,0.3184539552420377,-3.73345398902893,-0.3397458791732788,0.0853173732757568
1783197015924406300,1.08640625,-0.8764503877051174,2.0609166310071942,-0.0193283853262662,-3.955401659011841,-0.322539210319519,0.0584622547030448
1783197015934344200,1.09634423828125,-1.1178640656255183,1.840047143943608,-0.6715338181853294,-4.130346298217773,-0.28294837474823,0.0657654479146003
